DatumUhrzeit,Name 1,Name 2,Name 3
2015-10-02 13:15,24.562,24.500,24.937
2015-10-02 13:30,24.750,24.687,25.062
2015-10-02 13:45,24.812,24.687,25.062
2015-10-02 14:00,24.500,24.500,24.875
2015-10-02 14:15,24.875,24.750,25.000
2015-10-02 14:30,24.937,24.937,25.187
